analysis_year,analysis_era,run,scope_name,member_count,proof,all_active_members_unprescaled,ls_tolerance_fb
2022,2022,355913,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355913,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355921,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355933,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355942,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355988,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355989,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355998,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
